X,Y,OBJECTID,name,introduction,difficulty,completionTime,hasAlerts,introductionThumbnail,walkingAndTrampingWebPage,dateLoadedToGIS
175.7799681,-37.46468682,1919,Bluff Stream Kauri Loop Track,You can see some of the Bay of Plenty's remnant kauri giants on this track.,Advanced,3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/21049/bluff-stream-220.jpg,https://www.doc.govt.nz/link/734C14D6-625B-4205-B65E-4F3B01E91C94.aspx,2018-06-22T04:19:16.000Z
167.5364505,-45.77598852,1920,Borland Nature Walk,This easy loop track in Fiordland forest in Monowai is suitable for families.,Easy,40 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/65510/borland-nature-walk-390.jpg,https://www.doc.govt.nz/link/CA16BD7E-41AE-476B-91A4-585A7904F897.aspx,2018-06-22T04:19:16.000Z
175.5243609,-39.96467641,1921,Bruce Park Loop Track,"An easy walk through a podocarp and broadleaf forest remnant with impressive specimens of rimu, totara and kahikatea - great for kids and they can earn a Kiwi Guardians medal too!

",Easy,20 min - 1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/14912/bruce-park-entrance-1200.jpg,https://www.doc.govt.nz/link/0B490B8A-8F7C-4339-85B7-A1A612E232BE.aspx,2018-06-22T04:19:16.000Z
171.3241491,-42.43437379,1922,Brunner Mine Site Walk,Explore the fascinating and family-friendly historic Brunner Mine and enjoy the interactive displays.,Easiest,1 hr ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/43813/brunner-mine-site-1200.jpg,https://www.doc.govt.nz/link/3D8F2B52-2D32-4126-AA8D-1DF6A5EF4886.aspx,2018-06-22T04:19:17.000Z
171.4592061,-41.76501132,1923,Cape Foulwind Walkway,"A seal colony, a lighthouse and panoramic views of mountains and coastline feature on this spectacular coastal walkway. With the beach close by as well it's a good option for children. It's also one of our best short walks.","Easiest,Easy",1 hr 15 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/18567/cape-foulwind-1200.jpg,https://www.doc.govt.nz/link/F46E42CD-A7BD-43A3-A189-3406872EE723.aspx,2018-06-22T04:19:17.000Z
171.7933497,-42.99300749,1924,Casey Saddle - Binser Saddle Route,"This is a pleasant 2 day tramp, crossing easy saddles on well-defined tracks through open mountain beech forest.",Advanced,2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/18954/casey-binser-saddles-route-220.jpg,https://www.doc.govt.nz/link/84CEBC4F-5598-4E44-AC48-C1F5EEAFCE26.aspx,2018-06-22T04:19:17.000Z
174.9303168,-41.34895167,1925,Catchpool Loop Walk,Walk through a nikau grove and podocarp/broadleaf forest.,Easy,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/8832/catchpool-loop-walk-1200.jpg,https://www.doc.govt.nz/link/7EA0377B-9FD5-4279-91AC-F5E59B3718CC.aspx,2018-06-22T04:19:17.000Z
175.7990532,-36.83335308,1926,Cathedral Cove Walk,Stunning views of the Coromandel coast guide you to the dramatic cliffs and iconic rock archway of Cathedral Cove. This is one of best short walks.,Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/11897/cathedral-cove-1200.jpg,https://www.doc.govt.nz/link/6AB975CA-78F0-41B3-BDC4-36DB75AEACE8.aspx,2018-06-22T04:19:18.000Z
170.4064419,-45.81564491,1927,Chalkies Track,Climb 400 m on this steep loop track which traverses Powder Hill to see spectacular views of the Silver Peaks and Saddle Hill.,Advanced,3 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo-220x140.jpg,https://www.doc.govt.nz/link/946B8DB6-5C7E-45DD-8B29-1EC36F8DED16.aspx,2018-06-22T04:19:18.000Z
171.8812823,-41.609507,1928,Charming Creek Walkway,"Scenery and history combine in this walk along an historic bush tramway, with spectacular vistas up and down the Ngakawau Gorge, alongside an unfolding view of the Mangatini Falls. Located near Westport, it's one of our best short walks.",Easy,2 hr 30 min - 3 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/29285/charming-creek-1200.jpg,https://www.doc.govt.nz/link/E281FF34-DF91-4F50-AEEB-879D23BA5A5E.aspx,2018-06-22T04:19:18.000Z
175.7796304,-37.46367378,1929,Daly's Clearing Loop Track,"A highlight along this track is the extensive groves of nīkau nestled under tall tawa, kohekohe and pukatea forest.",Advanced,4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo-220x140.jpg,https://www.doc.govt.nz/link/BC814E56-314B-4164-BFC0-C1F2DC7C223E.aspx,2018-06-22T04:19:18.000Z
169.1892161,-44.67673795,1930,Deans Bank Track,This loop walking and mountain biking track meanders along the upper slopes of the Clutha river and offers spectacular views of surrounding peaks and Otago landscapes.,Easy,1 hr 30 min - 2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/58496/deans-bank-loop-biking-track-1200.jpg,https://www.doc.govt.nz/link/372C7510-EA9F-4C0A-B6F1-3C279DAB892A.aspx,2018-06-22T04:19:18.000Z
171.2442882,-43.90556411,1931,Dennistoun Bush Track,"Walk through magnificent ancient forest on this flat, easy walk.",Easy,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/164532/dennstoun-bush-220.jpg,https://www.doc.govt.nz/link/D6112F49-6694-4AB8-A74A-319D25270DA9.aspx,2018-06-22T04:19:18.000Z
169.3574776,-45.24647496,1932,Earnscleugh Tailings Track,"The tailings on this walk are nationally significant as the only complete record of dredging activity from 1863 to 1963. They're an awe inspiring sight, hundreds of metres wide like a giant’s ploughed field. ",Easy,30 min or 2 - 3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/28207/earnscleugh.jpg,https://www.doc.govt.nz/link/E90787B3-4086-4904-B3C5-6E87A582CCA3.aspx,2018-06-22T04:19:18.000Z
174.120517,-35.25969856,1933,Flagstaff Hill Track,"Enjoy 360 degree views of the Bay of Islands from this important historic site - the Union Jack was first flown here in 1840, then chopped down four times up till 1845 as a symbolic gesture against British rule.",Easy,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/16961/flagstaff-hill-sundial-223.jpg,https://www.doc.govt.nz/link/240A2B08-5FBB-4305-865C-452C5894836B.aspx,2018-06-22T04:19:19.000Z
170.0375426,-43.48983494,1934,Fox Glacier / Te Ara o Tuawe Valley Walk,Get spectacular views of Fox Glacier/Te Moeke o Tuawe on one of our best short walks. It's suitable for children - and they can earn a Kiwi Guardians medal too! ,Easiest,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/52578/fox-glacier-1200.jpg,https://www.doc.govt.nz/link/5D9E710F-3526-4B80-8817-B44F4DB34C8D.aspx,2018-06-22T04:19:19.000Z
168.0828436,-44.89367366,1935,Lake Gunn Nature Walk,"Experience wild Fiordland on one of our best short walks - wander through red beech forest, enjoying glimpses of the birdlife of the Eglinton valley, Lake Gunn and the surrounding mountains. It's a good option for children.",Easiest,45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/63488/lake-gunn-1200.jpg,https://www.doc.govt.nz/link/EC425C03-CC27-4506-BF7F-5804EBAED71B.aspx,2018-06-22T04:19:19.000Z
169.9701145,-43.44698556,1936,Lake Matheson / Te Ara Kairaumati Walk,A gentle walk leads to views of the mountains reflected on the still waters of Lake Matheson. It's one of our best short walks.,Easiest,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/16418/lake-matheson-1200.jpg,https://www.doc.govt.nz/link/FD215E48-EA01-469F-9667-BD927FDB3CE4.aspx,2018-06-22T04:19:19.000Z
174.5973201,-36.08109783,1937,Mangawhai Cliffs Walkway,The rugged beauty of New Zealand’s coast unfolds with panoramic views offering spectacular photo opportunities along this walk from the shoreline to the clifftops. It's suitable for children and is one of our best short walks.,Easy,2-3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/19021/mangawhai-cliffs-1200.jpg,https://www.doc.govt.nz/link/1FD94B89-5504-40B0-8B6F-19F6E0DFFD28.aspx,2018-06-22T04:19:19.000Z
174.5099989,-35.8209877,1938,Mount Manaia Track,A steady climb through regenerating native bush to the summit of Mount Manaia rewards you with breathtaking views of the dramatic entrance to Whangarei Harbour. ,Easy,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/17319/mt-manaia-1200.jpg,https://www.doc.govt.nz/link/E396890E-AA69-40F6-8D01-6D06D4375B3D.aspx,2018-06-22T04:19:19.000Z
174.087409,-41.19653215,1939,Queen Charlotte Track: Guided walks,A variety of operators offer guided walks along the spectacular Queen Charlotte Track in the heart of the Marlborough Sounds. Relax in comfortable accommodation showcasing the gourmet cuisine that the region is renowed for.,Advanced,4 - 5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/126942/boutique-lodge-565.jpg,https://www.doc.govt.nz/link/73D3D20B-49F5-43AA-B864-25836FC2CB99.aspx,2018-06-22T04:19:19.000Z
174.861671,-36.80638899,1940,Rangitoto Summit Track,An easy climb through pōhutukawa forest and lava fields gives way to panoramic views of Auckland and the Hauraki Gulf from the summit of this volcanic island. This is one of our best shorts.,Easy,2 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/58592/rangitoto-1200.jpg,https://www.doc.govt.nz/link/A24C756B-0172-4865-BB3E-F57C82E08406.aspx,2018-06-22T04:19:19.000Z
169.0717515,-44.67339009,1941,Roys Peak Track,"Take in breathtaking views over Lake Wanaka, Mount Aspiring/Tititea and surrounding peaks after a steep climb through alpine meadows and tussock grasslands to the summit. This is a popular track and one of our best day hikes.",Easy,5-6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/42164/roys-peak-track-1200.jpg,https://www.doc.govt.nz/link/C073DC44-E9AA-4C36-9B8A-75CB8365F047.aspx,2018-06-22T04:19:20.000Z
170.1632266,-43.69802699,1942,Blue Lakes and Tasman Glacier walks,"View New Zealand's longest glacier, the mighty Haupapa/Tasman Glacier on one of our best short walks.",Easy,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/17714/blue-lakes-hiker-1200.jpg,https://www.doc.govt.nz/link/B015EFB4-41D5-4E57-A498-FD937797D2B3.aspx,2018-06-22T04:19:20.000Z
176.2165185,-38.99388423,1943,Te Iringa Track,"On this challenging and remote adventure ride, pass through beech forest and enjoy the scenery, streams and wildlife of the Kaimanawa Forest Park. ",Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/150018/te-iringa-dglt-thumb.jpg,https://www.doc.govt.nz/link/1E72F18C-A04B-448B-95C5-2CE387948372.aspx,2018-06-22T04:19:20.000Z
174.5725345,-35.83909804,1944,Te Whara Track,Follow in the footsteps of Northland's Māori ancestors. This challenging track climbs through coastal forest before revealing a spectacular 360-degree panorama. It's one of our best day hikes.,Intermediate,5-6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/17295/te-whara-1200.jpg,https://www.doc.govt.nz/link/E91049F3-D3C2-4E56-84BE-DCBB2BD7DC69.aspx,2018-06-22T04:19:20.000Z
175.5810012,-39.14449724,1945,Tongariro Alpine Crossing,"Trek across a volcanic alpine landscape of dramatic contrasts – steaming vents, glacial valleys, ancient lava flows, alpine vegetation and vivid crater lakes, all with stunning views.",Intermediate,7-8 hr (allow full day),Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/14921/tongariro-alpine-crossing-1200.jpg,https://www.doc.govt.nz/link/5CE26066-426B-4060-9B2E-077A8AEAFC8C.aspx,2018-06-22T04:19:20.000Z
172.9402163,-40.83876811,1946,Wainui Falls Track,"A short walk through lush native bush leads to the cascading Wainui Falls, the largest and most accessible falls in Golden Bay/Mohua - there's a long swing bridge for children to enjoy as well. It's one of our best short walks.",Easy,1 hr 20 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/25793/wainui-falls-hiker-1200.jpg,https://www.doc.govt.nz/link/3760C5FC-65BE-400A-9DF7-706EF6E3ABFF.aspx,2018-06-22T04:19:20.000Z
173.4108992,-34.82914702,1947,Fig Tree Track,This track is closed until at least December 2018 due to safety hazards. ,Easy,3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/55570/fig-tree-maitai-bay-1200.jpg,https://www.doc.govt.nz/link/76E67654-68AC-424E-AC2F-6F3025B87ED6.aspx,2018-06-22T04:19:20.000Z
171.5609532,-42.93523298,1948,Devils Punchbowl Walking Track,Feel the full force and sound of fresh mountain water falling 131 m down one of New Zealand’s most stunning waterfalls. It's one of our best short walks.,Easy,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/172443/devils-punchbowl-walking-track-person-1200.jpg,https://www.doc.govt.nz/link/2452D706-2295-47A9-AD10-B87260381C79.aspx,2018-06-22T04:19:21.000Z
170.0942958,-43.71906155,1949,Hooker Valley Track,Enjoy the awe-inspiring landscapes of the Southern Alps/Kā Tiritiri o te Moana on one of our best day hikes - wind up the Hooker Valley past alpine streams and glaciers in the shadow of Aoraki/Mount Cook.,Easy,3 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/172441/hooker-valley-1200.jpg,https://www.doc.govt.nz/link/45055658-49A3-4560-80A5-86C2E67A7D41.aspx,2018-06-22T04:19:21.000Z
177.0082228,-39.63990437,1950,Cape Kidnappers Walking Track,The journey along 'Māui's fish hook' takes you to the world's largest mainland gannet colony and past rugged cliffs. It's one of our best day hikes.,Easy,5 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/172449/cape-kidnappers-1200.jpg,https://www.doc.govt.nz/link/07E4911D-8BBE-4B63-BFC9-10886DD6C3FB.aspx,2018-06-22T04:19:21.000Z
176.0207557,-40.11345383,1951,A Frame Hut & Takapari Road Track,Head to Tamaki Road end by following the track up through forest to Takapari Road. From there you’ll follow a bulldozed road 100 m to the hut. ,Advanced,2 - 3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/20051/tops-223.jpg,https://www.doc.govt.nz/link/0C3B4CE6-4C56-412C-9BB8-87A78524C45B.aspx,2018-06-22T04:19:21.000Z
173.0175497,-40.86511127,1952,Abel Tasman Coast Track,"Blessed with a mild climate, golden beaches and lush coastal native bush, the Abel Tasman Coast Track has it all.",Intermediate,3 - 5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/12943/abel-tasman-1200.jpg,https://www.doc.govt.nz/link/114FF80D-12F4-4F0B-8384-103F0C8E6EFC.aspx,2018-06-22T04:19:21.000Z
176.8834351,-39.48193172,1953,Ahuriri Estuary Walking Track,"View a community of wading birds, fish, mud dwellers and aquatic plant life from the estuary track and boardwalk. Over 70 species of resident and migratory waterbirds use the estuary as a feeding and resting area.",Easy,1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/24179/ahuriri-estuary-walkway-1200.jpg,https://www.doc.govt.nz/link/AEAD7709-3123-4662-9494-867CD79373A3.aspx,2018-06-22T04:19:21.000Z
169.6360911,-44.18566905,1954,Ahuriri Valley Track,This track follows the Ahuriri River. Three huts on route provide several options.,Advanced,6 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/130883/ahuriri-valley-1200.jpg,https://www.doc.govt.nz/link/12DA3F7D-7CE2-433F-8659-5D7CD0D74D9A.aspx,2018-06-22T04:19:21.000Z
174.0455177,-35.19197683,1955,Akeake Historic Reserve Track,"The track starts from Opito Bay and splits into a series of short, easy walks suitable for children - visit a small beach in the Te Puna Inlet and a pa site on Tareha Point.",Easy,15-30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/16596/view-from-ake-ake-lookout-1200.jpg,https://www.doc.govt.nz/link/B213FF1C-A694-46C6-9727-789520C97359.aspx,2018-06-22T04:19:22.000Z
169.032178,-44.34282,1956,Albert Burn Hut Track,From the mouth of the Albert Burn follow the farmed river flats into the gorge and on to the Albert Burn Hut.,Advanced,6 - 8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/20463/albert-burn-track-1200.jpg,https://www.doc.govt.nz/link/62715628-D962-47CD-BF1C-80476BFD6C68.aspx,2018-06-22T04:19:22.000Z
170.1588424,-43.4148602,1957,Alex Knob Track,It’s a 4-hour climb to the top of Alex Knob. The track zigzags up to Rata Lookout for a view of the Franz Josef Glacier. From there follow the marked track to the summit.,Advanced,8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/17715/alex-knob-1920.jpg,https://www.doc.govt.nz/link/72B1B1EA-6C56-4342-8818-08859F70C5C3.aspx,2018-06-22T04:19:22.000Z
176.0153801,-39.95602211,1958,Alice Nash Memorial Heritage Lodge Track,This track in the scenic Oroua River valley can be enjoyed as a half day tramp but it's also a good overnight tramp for families with children and new trampers.,Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/28668/heritage-lodge-220.jpg,https://www.doc.govt.nz/link/5CE9A74E-818C-41EC-87BE-899406B83E1F.aspx,2018-06-22T04:19:22.000Z
170.6997546,-45.87430369,1959,Allans Beach Track,Walk 5 minutes from the carpark to Allans Beach and see sea lions and penguins.,Easiest,5 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/161573/sealions-on-allans-beach-220.jpg,https://www.doc.govt.nz/link/033E0138-CC88-492E-AF02-63B8E9F58D4A.aspx,2018-06-22T04:19:22.000Z
173.2066995,-41.5193372,1960,Alpine Route,This challenging trip above the bushline in Mt Richmond Forest Park offers outstanding views over the Waimea Plains and the Inland Kaikoura Ranges.,"Advanced,Expert",,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/12064/slaty-peak-ridgeline-220.jpg,https://www.doc.govt.nz/link/1AAFCEEC-8207-4D4B-967D-97C3EACDE6DA.aspx,2018-06-22T04:19:22.000Z
175.8547209,-37.50366084,1961,Ananui Falls Track,Experience the Ananui Falls Track with delightful scenery along the way.,Advanced,4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/19486/ananui-falls-track-1200.jpg,https://www.doc.govt.nz/link/5E6D33D0-125F-4E34-8071-7F2C1A4F1789.aspx,2018-06-22T04:19:22.000Z
172.678597,-40.92487005,1962,Anatoki and Historic Kill Devil Pack Tracks,"Explore beautiful beech forest, dramatic gorge scenery and rock debris dam at Lake Stanley. Trampers can also enjoy a historic hut experience in restored character huts from 1930s gold mining days.",Advanced,3-5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/45832/lake-stanley-1200.jpg,https://www.doc.govt.nz/link/9CB9DF11-D6C2-4A9E-BE2E-479268F0B7D9.aspx,2018-06-22T04:19:23.000Z
172.784208,-41.85342461,1963,Angelus Hut tracks and routes,"Angelus, at 1,650 metres, is perched high on the ranges between Lakes Rotoiti and Rotoroa in Nelson Lakes National Park.  ","Advanced,Expert",2-3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/47588/robert-ridge-route-to-lake-angelus-hut-220.jpg,https://www.doc.govt.nz/link/C4DED3DE-4995-4D28-8096-704C5A7643D1.aspx,2018-06-22T04:19:23.000Z
174.1714121,-41.0741186,1964,Antimony Mines Track,The Antimony Mines Track which leads from Endeavour Inlet past the site of an old mine and on to the Titirangi Road.,Advanced,2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/12927/queen-charlotte-sounds-223.jpg,https://www.doc.govt.nz/link/AB757142-A422-4320-BE28-4D45BECBEE32.aspx,2018-06-22T04:19:23.000Z
175.4020129,-36.21279083,1965,Aotea Track,"The Aotea Track offers a range of spectacular landscapes, superb views and rich history.",Advanced,2-3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/54397/aotea-track-boardwalk-1200-2.jpg,https://www.doc.govt.nz/link/2AE1915A-4D05-4E10-9D26-7A552C4AC41F.aspx,2018-06-22T04:19:24.000Z
171.2729818,-42.85870169,1966,Arahura & Styx valleys tracks,The Arahura and Styx valleys are popular areas for tramping and hunting. The main access in both valleys is via benched formations constructed during the early gold mining days.,Advanced,2 - 4 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/16031/tussock-butterfly-223.jpg,https://www.doc.govt.nz/link/DC84CFE2-6399-465F-89D7-FAFF6ED9CD5C.aspx,2018-06-22T04:19:24.000Z
170.703804,-45.7814491,1967,Aramoana Boardwalk,"The Aramoana Boardwalk and saltmarsh experience, and other short walks from Aramoana on the edge of Otago Harbour, suit  all ages and abilities.",Easiest,20 to 45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/27879/aramoana-boardwalk-220.jpg,https://www.doc.govt.nz/link/27CF5D1E-9928-4C89-85F7-FE1787839A35.aspx,2018-06-22T04:19:24.000Z
176.1107992,-38.62867292,1968,Aratiatia Rapids tracks,"Several times a day the gates at the Aratiatia dam are opened to release the full flow of the river, a spectacular sight from the lookout points - kids will love it!","Easiest,Easy",10 min | 2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/148932/aratiatia-natewallace-1200.jpg,https://www.doc.govt.nz/link/5A3F05C0-D358-4E6F-81B8-773D11017135.aspx,2018-06-22T04:19:24.000Z
173.7744424,-41.07142771,1969,Archer Track,This walking and mountain biking track passes through native and pine forest from Penzance Bay to Elaine Bay.,Easy,3 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/49954/archers-track223.jpg,https://www.doc.govt.nz/link/0CC3F844-0F86-4ED8-A6FE-C41394F0CD75.aspx,2018-06-22T04:19:24.000Z
176.6729253,-38.68177862,1970,Arohaki Lagoon Track,Arohaki Lagoon is one of the must see sites in the Whirinaki.,Easy,4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/20034/arohaki-lagoon-1200.jpg,https://www.doc.govt.nz/link/F24777C7-3DBB-4C6E-96C0-410E16F7DCDE.aspx,2018-06-22T04:19:24.000Z
168.8275173,-44.93758862,1971,Arrowtown Chinese Settlement,"One golden village, two tales. The picturesque preservation of two very different goldrush communities – Chinese and European – in a town that still thrives.",Easiest,At your leisure,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/49154/arrowtown-chinese-settlement-1200.jpg,https://www.doc.govt.nz/link/B3E33C02-1732-4820-8715-4C7B9E337BD4.aspx,2018-06-22T04:19:24.000Z
171.5589938,-42.92143446,1972,Arthur’s Pass Walking Track ,"Experience the best of Arthur’s Pass's diverse alpine vegetation, waterfalls, wetlands, rich history and stunning mountain views on this walk.",Easy,2 h 40 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/65984/dobson-223.jpg,https://www.doc.govt.nz/link/D3F5348A-5667-42D2-97DC-3C14E36D1A22.aspx,2018-06-22T04:19:24.000Z
