OBJECTID,name,introduction,difficulty,completionTime,hasAlerts,introductionThumbnail,walkingAndTrampingWebPage,dateLoadedToGIS,Shape__Length
4719,Ahuriri Estuary Walking Track,"View a community of wading birds, fish, mud dwellers and aquatic plant life from the estuary track and boardwalk. Over 70 species of resident and migratory waterbirds use the estuary as a feeding and resting area.",Easy,1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/24179/ahuriri-estuary-walkway-1200.jpg,https://www.doc.govt.nz/link/AEAD7709-3123-4662-9494-867CD79373A3.aspx,2018-06-22T04:19:21.000Z,3027.133188
4720,Alex Knob Track,It’s a 4-hour climb to the top of Alex Knob. The track zigzags up to Rata Lookout for a view of the Franz Josef Glacier. From there follow the marked track to the summit.,Advanced,8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/17715/alex-knob-1920.jpg,https://www.doc.govt.nz/link/72B1B1EA-6C56-4342-8818-08859F70C5C3.aspx,2018-06-22T04:19:22.000Z,7570.157857
4721,Aotea Track,"The Aotea Track offers a range of spectacular landscapes, superb views and rich history.",Advanced,2-3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/54397/aotea-track-boardwalk-1200-2.jpg,https://www.doc.govt.nz/link/2AE1915A-4D05-4E10-9D26-7A552C4AC41F.aspx,2018-06-22T04:19:24.000Z,41684.30391
4722,Aramoana Boardwalk,"The Aramoana Boardwalk and saltmarsh experience, and other short walks from Aramoana on the edge of Otago Harbour, suit  all ages and abilities.",Easiest,20 to 45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/27879/aramoana-boardwalk-220.jpg,https://www.doc.govt.nz/link/27CF5D1E-9928-4C89-85F7-FE1787839A35.aspx,2018-06-22T04:19:24.000Z,471.4742767
4723,Aratiatia Rapids tracks,"Several times a day the gates at the Aratiatia dam are opened to release the full flow of the river, a spectacular sight from the lookout points - kids will love it!","Easiest,Easy",10 min | 2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/148932/aratiatia-natewallace-1200.jpg,https://www.doc.govt.nz/link/5A3F05C0-D358-4E6F-81B8-773D11017135.aspx,2018-06-22T04:19:24.000Z,6771.845557
4724,Atene Skyline Track,The Atene Skyline Track has spectacular views and a campsite for trampers wanting to stay the night.,Advanced,6 - 8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/14824/atene-220.jpg,https://www.doc.govt.nz/link/608BED85-0D52-45F8-A019-0B7C3F425F3A.aspx,2018-06-22T04:19:15.000Z,12250.87705
4725,Beehive Creek Walkway,This walk follows a shallow creek through a mixture of native bush and exotics before crossing farmland.,Easy,2-3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/14079/beehive-creek-223.jpg,https://www.doc.govt.nz/link/FC7AD7D6-B1C0-4751-A98F-233978D414B6.aspx,2018-06-22T04:19:25.000Z,4142.722385
4726,Ben Avon access route,This side trip off Ahuriri valley provides the opportunity to scale Ben Avon Peak in Ahuriri Conservation Park. ,Expert,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/119796/ben-avon-easement-565.jpg,https://www.doc.govt.nz/link/C61EE3B3-580D-41CA-9912-B18209043088.aspx,2018-06-22T04:19:25.000Z,494.6960871
4727,Ben Lomond Track,"The Ben Lomond Track is a demanding climb, but on clear days trampers are rewarded at the summit with spectacular panoramic views.",Easy,"3-4 hr to Ben Lomond Saddle, 6-8 hr to Ben Lomond ",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/19999/ben-lomond-1920.jpg,https://www.doc.govt.nz/link/7A9C364E-36AA-4B4B-AF32-DCDFEDA9EBD1.aspx,2018-06-22T04:19:25.000Z,4651.883408
4728,Big Tōtara Walk,This short walking track winds through forest to some of Southland’s largest and oldest tōtara trees in a forest that has never been logged.,Easy,30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/65195/big-totara-223-thumb.jpg,https://www.doc.govt.nz/link/4A7B1B14-7A0B-49F5-B84B-9C0CF44E5EDB.aspx,2018-06-22T04:19:26.000Z,622.142677
4729,Birch Creek access route,This public access route travels along Birch Creek in the Ahuriri valley. ,Expert,1 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/119808/birch-creek-easement-565.jpg,https://www.doc.govt.nz/link/2C4A37D5-1242-4291-A856-7706E8C0173F.aspx,2018-06-22T04:19:26.000Z,2306.367613
4730,Blue-Young Link Track,"An extension of the very popular Blue Pools Walk and connects with the Young River. It's  also an alternative, high river route to the stat of the Gillespie Pass Circuit.  ",Intermediate,3 -4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/38338/blue-young-track.jpg,https://www.doc.govt.nz/link/D2B1B1FC-83CD-4E64-98C2-04BCF4BAE84A.aspx,2018-06-22T04:19:26.000Z,5804.666811
4731,Bluff Stream Kauri Loop Track,You can see some of the Bay of Plenty's remnant kauri giants on this track.,Advanced,3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/21049/bluff-stream-220.jpg,https://www.doc.govt.nz/link/734C14D6-625B-4205-B65E-4F3B01E91C94.aspx,2018-06-22T04:19:16.000Z,6103.025764
4732,Borland Nature Walk,This easy loop track in Fiordland forest in Monowai is suitable for families.,Easy,40 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/65510/borland-nature-walk-390.jpg,https://www.doc.govt.nz/link/CA16BD7E-41AE-476B-91A4-585A7904F897.aspx,2018-06-22T04:19:16.000Z,1532.179283
4733,Borland Road to Monowai Hut Track,This tramping track leads from Borland Saddle to a hut at the northern end of Lake Monowai in Fiordland National Park.,Advanced,9 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/65512/borland-towards-lake-monowai-220.jpg,https://www.doc.govt.nz/link/3F1CEB08-457E-4A69-89C2-D57009D7FDDD.aspx,2018-06-22T04:19:27.000Z,19079.71901
4734,"Boyd, Oamaru and Cascade Hut tracks","Combine these tracks for a multi-night tramp with lush beech forest, river crossings and wildlife. Several huts and road ends allow you to tailor a trip to suit.",Advanced,2 - 4 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/150338/hinemaiaia-track-annaelwarth-thumb.jpg,https://www.doc.govt.nz/link/541125FD-D7E7-40FB-9C0B-EEB251B62401.aspx,2018-06-22T04:19:27.000Z,78581.5092
4735,Braemar Road to Landslip Creek,A public access easement leads to Landslip Creek above Lake Pukaki. ,Advanced,3 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/122049/braemar-landslip-winter-565.jpg,https://www.doc.govt.nz/link/51C0CD2F-73B4-4802-8639-665F60D320D4.aspx,2018-06-22T04:19:27.000Z,15835.97455
4736,Brasell Point Nature Walk,"This walking track in Deep Cove, Doubtful Sound, is a short, self guided nature walk through forest to the Helena Falls lookout.",Easy,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/64662/brasell-point-nature-walk-223.JPG,https://www.doc.govt.nz/link/8EA38166-5E43-439D-A716-F61C6733526F.aspx,2018-06-22T04:19:27.000Z,329.6915735
4737,Bridge to Nowhere Walk,Walk to an abandoned bridge in the heart of the Whanganui National Park.,Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/21565/bridge-to-nowhere-220.jpg,https://www.doc.govt.nz/link/B3DA3278-FF9F-41C5-BBDF-FB2155C6D39D.aspx,2018-06-22T04:19:27.000Z,1887.201153
4738,Bridle Track,"This well-graded track follows a section of the old Bridle Track, the first link between Otago and Westland.",Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/20406/bridle-track-1200.jpg,https://www.doc.govt.nz/link/28F06B0E-F538-41D9-9F78-58026DA0D76B.aspx,2018-06-22T04:19:27.000Z,3509.844119
4739,Burnt Ridge Track,"This tramping track offers an easy walk from the Borland Lodge grounds to Lake Monowai, in Fiordland. ",Easy,1.5 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/65514/burnt-ridge-track-223.jpg,https://www.doc.govt.nz/link/7FCBA83C-FDE2-428E-90FE-820B1D64430B.aspx,2018-06-22T04:19:28.000Z,4406.891394
4740,Burrill Route,Burrill Route was formed in the 1970s by miners prospecting for copper.,Expert,8 - 9 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/18315/burrill-track-223.jpg,https://www.doc.govt.nz/link/D2F000EE-FDEB-49B6-A53C-DE537A3C4AED.aspx,2018-06-22T04:19:28.000Z,8075.612675
4741,Butterfields Wetland Walk,"Situated near the Hāwea River Swing Bridge this small loop track around the Butterfields Wildlife Management Area is suitable for biking, running and walking. ",Easy,45 mins,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/150600/butterfields-wetland-walk-1200.jpg,https://www.doc.govt.nz/link/F0D1B69A-CFB4-45C2-A764-290F4547CA52.aspx,2018-06-22T04:19:29.000Z,1100.994072
4742,Cable Bay Walkway,"Enjoy the coastal views on this walkway between Rotokura/Cable Bay and The Glen, near Nelson. Boating, sea kayaking, and snorkeling are all possible.",Easy,3 hr 30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/12361/cable-bay-walkway-220.jpg,https://www.doc.govt.nz/link/FEEF6BE5-6121-49BB-81B9-F9E2BF40C074.aspx,2018-06-22T04:19:29.000Z,9121.186234
4743,Canavans Knob Walk,"A short climb with rewarding views of the glacier, mountains and river flats.",Easiest,1 hr - 1 hr 40,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/16661/canavans-223.jpg,https://www.doc.govt.nz/link/86C4AD83-8461-4D09-B5BB-15E6237233FC.aspx,2018-06-22T04:19:29.000Z,1529.82184
4744,Canyon Creek Track,Discover spectacular waterfalls and a rock bivvy in the Canyon Creek area.,"Advanced,Expert",3 hr 50 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/119399/canyon-creek-track-1200.jpg,https://www.doc.govt.nz/link/26F04DB1-E4C9-41B3-BD26-2DD205BD4B5F.aspx,2018-06-22T04:19:30.000Z,4206.429489
4745,Cape Brett Track,The Cape Brett Track traverses rugged terrain for 16 km through native and regenerating bush. Expect dramatic coastal views; steep cliffs and drop-offs to the side of the track are a feature.,Advanced,8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/16404/cape-brett-track-1200.jpg,https://www.doc.govt.nz/link/3339929C-096D-437D-AE57-E4EE5C1B0E67.aspx,2018-06-22T04:19:30.000Z,4395.838145
4746,Edwards - Otehake Route,A  transalpine route that mixes the best of east with the wilds of the west. ,Expert,2 - 3 days ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/18974/edwards-otehake-220.jpg,https://www.doc.govt.nz/link/22DD9C7A-D166-4BE9-B9A3-C144A63443EF.aspx,2018-06-22T04:19:36.000Z,27235.40859
4747,Catchpool Loop Walk,Walk through a nikau grove and podocarp/broadleaf forest.,Easy,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/8832/catchpool-loop-walk-1200.jpg,https://www.doc.govt.nz/link/7EA0377B-9FD5-4279-91AC-F5E59B3718CC.aspx,2018-06-22T04:19:17.000Z,5469.349914
4748,Cathedral Caves Walk,Walk through bush and along the beach to explore the impressive Cathedral Caves.,Easy,30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/27856/cathedral-caves-1200.jpg,https://www.doc.govt.nz/link/3949C3D3-DBBA-45C8-80AB-8A6CDE8F82FF.aspx,2018-06-22T04:19:30.000Z,169.0144405
4749,Cathedral Cove Walk,Stunning views of the Coromandel coast guide you to the dramatic cliffs and iconic rock archway of Cathedral Cove. This is one of best short walks.,Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/11897/cathedral-cove-1200.jpg,https://www.doc.govt.nz/link/6AB975CA-78F0-41B3-BDC4-36DB75AEACE8.aspx,2018-06-22T04:19:18.000Z,1929.69533
4750,Cave Stream Scenic Reserve tracks and cave walk,Two short walks lead to the cave entrances – you can can also walk through the cave passage which meanders and twists in pitch darkness for 594 m between the two entrances.,Easiest,1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/19172/cave-stream-hikers-gallery-1200.jpg,https://www.doc.govt.nz/link/594F0DE8-04D0-4A6D-87C6-01DDFFD87D98.aspx,2018-06-22T04:19:30.000Z,813.0331334
4751,Christchurch - Little River Railtrail,The whole 44 km-long walkway and cycleway runs from Hornby (Ōtautahi/Christchurch) to Little River on Banks Peninsula. Easy grades makes this walk or ride suitable for young children and family groups.,Easy,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/18102/christchurch-little-river-railtrail-1200.jpg,https://www.doc.govt.nz/link/C68BD6A5-A00D-4242-940E-21ACEC0AFA20.aspx,2018-06-22T04:19:31.000Z,22586.07195
4752,Cloudy Peak Track,"The Cloudy Peak Track from its 1526 m high point, provides fantastic views of the Upper Clutha plains and peaks of the Lindis and St Bathans ranges.",Advanced,4 - 6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/82938/cloudy-peak-track-1200.jpg,https://www.doc.govt.nz/link/BFCEC559-BFD8-4818-84C9-12EB561C3F85.aspx,2018-06-22T04:19:31.000Z,7228.876914
4753,Cloustons Mine Track,Walk this track as part of a day walk circuit from Flora car park.,Advanced,3 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo-220x140.jpg,https://www.doc.govt.nz/link/6A710164-5341-4E06-A451-DF8A7DE43473.aspx,2018-06-22T04:19:31.000Z,4627.250988
4754,Copland Track to Welcome Flat Hut,"This popular tramp gives a glimpse of Westland’s spectacular forest, river and mountain scenery, with natural hot pools at Welcome Flat an added attraction.


",Intermediate,7 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/59577/Copland-View-to-Copland-Bridge-223.jpg,https://www.doc.govt.nz/link/A790C4E8-CA84-4EC4-A132-358E8CE9B4C5.aspx,2018-06-22T04:19:32.000Z,15595.85971
4755,Crown Track to Dickey's Flat,Take this short walk through historic mining country through to the Dickey Flat Campsite.,Easy,1 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/19957/crown-track-390.jpg,https://www.doc.govt.nz/link/40B36295-E2B4-456B-902F-9BCE486E57FF.aspx,2018-06-22T04:19:33.000Z,4399.801591
4756,Curtis Falls Track,Walk to Curtis Falls and enjoy a dip in the shallow pool beneath the falls.,Advanced,2–3 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/26096/curtis-falls-2-220.jpg,https://www.doc.govt.nz/link/066DCC5A-C245-4894-A7AA-F25C5DF65A65.aspx,2018-06-22T04:19:33.000Z,5170.154511
4757,Daly's Clearing Loop Track,"A highlight along this track is the extensive groves of nīkau nestled under tall tawa, kohekohe and pukatea forest.",Advanced,4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo-220x140.jpg,https://www.doc.govt.nz/link/BC814E56-314B-4164-BFC0-C1F2DC7C223E.aspx,2018-06-22T04:19:18.000Z,7506.947907
4758,Deadmans Track,This challenging tramping route from the Hollyford Road climbs the slope to meet the Routeburn Track near Harris Saddle.,Expert,5 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/63433/deadmans-creek-track-sign-223.jpg,https://www.doc.govt.nz/link/9F6C3177-6249-40DD-A19F-27B77E6C3D12.aspx,2018-06-22T04:19:33.000Z,4194.092809
4759,Deliverance Cove Track,The two possible routes on this Castlepoint walk offer spectacular views as you climb above the lagoon to the base of Castle Rock - it's suitable for children.,Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/9184/deliverance-cove-castlepoint-1200.jpg,https://www.doc.govt.nz/link/31C8DA7A-0B29-486D-989F-457B2393CA27.aspx,2018-06-22T04:19:34.000Z,1456.714926
4760,Denniston walking tracks,Explore the wild and remote environment of the Denniston Plateau. The historic sites provide a glimpse of times gone by. ,Easy,40 min - 6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/20069/denniston-baptiste-maryns-1920.jpg,https://www.doc.govt.nz/link/C3B79EE8-C895-4BA0-BE8A-F6DEEB38A3A3.aspx,2018-06-22T04:19:34.000Z,7011.897881
4761,Queen Charlotte Track: Guided walks,A variety of operators offer guided walks along the spectacular Queen Charlotte Track in the heart of the Marlborough Sounds. Relax in comfortable accommodation showcasing the gourmet cuisine that the region is renowed for.,Advanced,4 - 5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/126942/boutique-lodge-565.jpg,https://www.doc.govt.nz/link/73D3D20B-49F5-43AA-B864-25836FC2CB99.aspx,2018-06-22T04:19:19.000Z,65134.84337
4762,Te Iringa Track,"On this challenging and remote adventure ride, pass through beech forest and enjoy the scenery, streams and wildlife of the Kaimanawa Forest Park. ",Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/150018/te-iringa-dglt-thumb.jpg,https://www.doc.govt.nz/link/1E72F18C-A04B-448B-95C5-2CE387948372.aspx,2018-06-22T04:19:20.000Z,11895.11203
4763,Arrowtown Chinese Settlement,"One golden village, two tales. The picturesque preservation of two very different goldrush communities – Chinese and European – in a town that still thrives.",Easiest,At your leisure,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/49154/arrowtown-chinese-settlement-1200.jpg,https://www.doc.govt.nz/link/B3E33C02-1732-4820-8715-4C7B9E337BD4.aspx,2018-06-22T04:19:24.000Z,296.3918932
4764,Arthur’s Pass Walking Track ,"Experience the best of Arthur’s Pass's diverse alpine vegetation, waterfalls, wetlands, rich history and stunning mountain views on this walk.",Easy,2 h 40 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/65984/dobson-223.jpg,https://www.doc.govt.nz/link/D3F5348A-5667-42D2-97DC-3C14E36D1A22.aspx,2018-06-22T04:19:24.000Z,3584.226633
4765,Dome Forest car park to lookout ,"Starting from the Dome tearooms carpark, steps lead up along a narrow road reserve to the Dome Forest conservation area.  ",Easy,40 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/6272/dome-forest-walk-223.jpg,https://www.doc.govt.nz/link/861389DE-D0BF-4D33-860B-86FC1E788E2A.aspx,2018-06-22T04:19:34.000Z,1042.931191
4766,Dome Forest car park to Waiwhiu Grove,From the Dome Forest lookout the track continues to the Dome Summit where you get views of Taranga Island.,Advanced,1 hr 30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/6456/dome-trig-223.jpg,https://www.doc.govt.nz/link/18915EA7-3FF7-4381-8612-2352A2952711.aspx,2018-06-22T04:19:35.000Z,4084.883551
4767,Donnelly Flat Loop Walk,"The track to Donnelly Flat passes through some of the best mixed podocarp/broadleaf forest in the Tararua Range - this short, easy walk with a picnic area and stream on route is an great option for kids.",Easy,1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/9559/donnelly-flat-220.jpg,https://www.doc.govt.nz/link/AC0B15B9-2DE1-46FF-88BC-860676EC7A7A.aspx,2018-06-22T04:19:35.000Z,2570.670601
4768,Douglas Walk,"This short, easy forest walk passes by a reflective lake and crosses over glacial landforms - it's suitable for children.",Easy,1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/16699/douglas-walk-1920.jpg,https://www.doc.govt.nz/link/B760F94A-1110-4BA7-9564-AB90E4BE669A.aspx,2018-06-22T04:19:35.000Z,1637.199197
4769,Dromedary Hill Track ,It is well worth the effort getting out the car and stretching your legs with a day hike up Dromedary Hill. ,Advanced,6 - 8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/119948/dromedary-hill-lca-565.jpg,https://www.doc.govt.nz/link/3A53E87E-7491-4C02-AE67-2DC34905B22E.aspx,2018-06-22T04:19:35.000Z,4713.889658
4770,Dry Creek Track,"Dry Creek Track provides great backcountry opportunities for short walks, tramping and mountain biking with access to the Dry Creek and Neinei i Kura Conservation areas.",Advanced,4 - 6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/82903/dry-creek-track-1200.jpg,https://www.doc.govt.nz/link/23A42E2E-167A-445D-9168-84D60332566E.aspx,2018-06-22T04:19:36.000Z,8407.944413
4771,Earnscleugh Tailings Track,"The tailings on this walk are nationally significant as the only complete record of dredging activity from 1863 to 1963. They're an awe inspiring sight, hundreds of metres wide like a giant’s ploughed field. ",Easy,30 min or 2 - 3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/28207/earnscleugh.jpg,https://www.doc.govt.nz/link/E90787B3-4086-4904-B3C5-6E87A582CCA3.aspx,2018-06-22T04:19:18.000Z,5060.519948
4772,Fantail Bay Track,A tramping track leaves from the Fantail Bay campsite and leads to the bushline where you’ll find outstanding views. ,Advanced,30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/11812/fantail-bay-thumb.jpg,https://www.doc.govt.nz/link/81556D2A-C150-4F98-BB54-BE8652264D8E.aspx,2018-06-22T04:19:37.000Z,1377.753308
4773,Fanthams Peak/Panitahi and Syme Hut Track,On a clear day this tramp offers great views up the mountain and down to the Taranaki Ring Plain and the coastline.,"Advanced,Expert",5–6 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo-220x140.jpg,https://www.doc.govt.nz/link/5D11877D-97DC-4D26-BCE7-F6FD2F403609.aspx,2018-06-22T04:19:37.000Z,4256.800389
4774,Field Hut and Table Top,The day trip to Table Top is the classic climb to the tops of the western Tararua Range. ,Intermediate,5 – 6 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/10872/field-hut-223.jpg,https://www.doc.govt.nz/link/F99ECAD9-8ABB-4D1E-9262-7ECA2438166C.aspx,2018-06-22T04:19:38.000Z,4877.293726
4775,Five Mile Bay and Awaroa Tracks,"These family friendly tracks stretch along the expanse of Five Mile Bay, and are great for either walking or biking.",Easiest,30 min - 1hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/149308/fivemile-1200.jpg,https://www.doc.govt.nz/link/D80CFCDE-933C-4BC3-BECF-8C5EA48D7742.aspx,2018-06-22T04:19:38.000Z,5128.947229
4776,Five Mile Loop Track,This easy track passes through superb groves of mature hard beech in the lower reaches of Graces Stream.,Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/pagefiles/8833/five-mile-loop-track-1200.jpg,https://www.doc.govt.nz/link/04F5D867-3939-4C8D-90F5-EE5A30F45706.aspx,2018-06-22T04:19:38.000Z,1967.638846
